review_text,rating,date,bank_name,source
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,google_play
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia,google_play
like,5,2025-04-06,Bank of Abyssinia,google_play
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,google_play
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,google_play
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,google_play
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia,google_play
very good,5,2025-04-03,Bank of Abyssinia,google_play
thank you,5,2025-04-02,Bank of Abyssinia,google_play
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia,google_play
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,google_play
good application,5,2025-03-30,Bank of Abyssinia,google_play
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia,google_play
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,google_play
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,google_play
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,google_play
best app,5,2025-03-25,Bank of Abyssinia,google_play
very good,5,2025-03-25,Bank of Abyssinia,google_play
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,google_play
great BoA,5,2025-03-22,Bank of Abyssinia,google_play
best,5,2025-03-21,Bank of Abyssinia,google_play
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,google_play
good,5,2025-03-21,Bank of Abyssinia,google_play
good,5,2025-03-19,Bank of Abyssinia,google_play
there is no speed,1,2025-03-19,Bank of Abyssinia,google_play
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia,google_play
wonderful,5,2025-03-19,Bank of Abyssinia,google_play
all worck,5,2025-03-19,Bank of Abyssinia,google_play
Loved it,5,2025-03-14,Bank of Abyssinia,google_play
Wow,1,2025-03-14,Bank of Abyssinia,google_play
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,google_play
Improved to be the best,5,2025-03-11,Bank of Abyssinia,google_play
BoA,5,2025-03-11,Bank of Abyssinia,google_play
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia,google_play
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia,google_play
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia,google_play
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,google_play
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,google_play
Wonderfull app,5,2025-03-08,Bank of Abyssinia,google_play
i can't use this app why?,5,2025-03-07,Bank of Abyssinia,google_play
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia,google_play
Wow,4,2025-03-05,Bank of Abyssinia,google_play
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,google_play
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,google_play
Good app,5,2025-03-03,Bank of Abyssinia,google_play
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,google_play
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia,google_play
Very poor proformance,1,2025-03-01,Bank of Abyssinia,google_play
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia,google_play
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia,google_play
Not working on this days,1,2025-02-26,Bank of Abyssinia,google_play
Thank you BoA,5,2025-02-23,Bank of Abyssinia,google_play
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,google_play
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia,google_play
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,Bank of Abyssinia,google_play
This is help full i like ittttt,5,2025-02-14,Bank of Abyssinia,google_play
The is not functional at all?,2,2025-02-12,Bank of Abyssinia,google_play
Best bank,5,2025-02-08,Bank of Abyssinia,google_play
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of Abyssinia,google_play
good,5,2025-02-05,Bank of Abyssinia,google_play
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,Bank of Abyssinia,google_play
I have been using this app for two years.It is amazing.,5,2025-02-01,Bank of Abyssinia,google_play
Good 👍,5,2025-01-31,Bank of Abyssinia,google_play
Sad experience,1,2025-01-30,Bank of Abyssinia,google_play
Always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,google_play
"Best app, somehow waiting a few minutes",5,2025-01-23,Bank of Abyssinia,google_play
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of Abyssinia,google_play
Whenever I try to sign in app close please fixed it out,2,2025-01-21,Bank of Abyssinia,google_play
Beter,5,2025-01-21,Bank of Abyssinia,google_play
Boa,4,2025-01-18,Bank of Abyssinia,google_play
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,Bank of Abyssinia,google_play
Aadan Axmed Barkhadle,5,2025-01-17,Bank of Abyssinia,google_play
😡😡😡🤬🤬🤬,1,2025-01-16,Bank of Abyssinia,google_play
Horrible customer service and app crashes Horrible!!,1,2025-01-15,Bank of Abyssinia,google_play
I love it,5,2025-01-14,Bank of Abyssinia,google_play
Best,5,2025-01-14,Bank of Abyssinia,google_play
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,Bank of Abyssinia,google_play
Good🙏,5,2025-01-12,Bank of Abyssinia,google_play
Like to much,5,2025-01-11,Bank of Abyssinia,google_play
Thank you,5,2025-01-10,Bank of Abyssinia,google_play
Perfect,5,2025-01-09,Bank of Abyssinia,google_play
The best of best,5,2025-01-09,Bank of Abyssinia,google_play
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,Bank of Abyssinia,google_play
Boa,5,2025-01-06,Bank of Abyssinia,google_play
Great 👍,5,2025-01-04,Bank of Abyssinia,google_play
Fast and suitable for the customers.,5,2025-01-04,Bank of Abyssinia,google_play
Good 👍,5,2025-01-03,Bank of Abyssinia,google_play
Good app and helpful,5,2025-01-03,Bank of Abyssinia,google_play
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,Bank of Abyssinia,google_play
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,Bank of Abyssinia,google_play
It doesn't work at all.,2,2025-01-02,Bank of Abyssinia,google_play
this app is not available,1,2025-01-02,Bank of Abyssinia,google_play
Best,5,2025-01-01,Bank of Abyssinia,google_play
Wow what amazing,5,2024-12-30,Bank of Abyssinia,google_play
love it,5,2024-12-30,Bank of Abyssinia,google_play
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,Bank of Abyssinia,google_play
Lemn embi yilal??,5,2024-12-30,Bank of Abyssinia,google_play
Good,5,2024-12-30,Bank of Abyssinia,google_play
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia,google_play
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of Abyssinia,google_play
Nice,5,2024-12-26,Bank of Abyssinia,google_play
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of Abyssinia,google_play
አይሰራም ሼም ነው፤,1,2024-12-23,Bank of Abyssinia,google_play
Not that much bad,3,2024-12-22,Bank of Abyssinia,google_play
Fine,5,2024-12-21,Bank of Abyssinia,google_play
The dirtiest application ever seen...,1,2024-12-20,Bank of Abyssinia,google_play
Nic ap,5,2024-12-19,Bank of Abyssinia,google_play
The forest app ever,1,2024-12-19,Bank of Abyssinia,google_play
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of Abyssinia,google_play
Bank of abissena,1,2024-12-17,Bank of Abyssinia,google_play
Good,3,2024-12-16,Bank of Abyssinia,google_play
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of Abyssinia,google_play
GOOD,5,2024-12-15,Bank of Abyssinia,google_play
The worst banking app ever. Never works!,1,2024-12-14,Bank of Abyssinia,google_play
Poorly functioning app,3,2024-12-13,Bank of Abyssinia,google_play
Very nice,5,2024-12-13,Bank of Abyssinia,google_play
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of Abyssinia,google_play
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of Abyssinia,google_play
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,Bank of Abyssinia,google_play
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,Bank of Abyssinia,google_play
Nice,5,2024-12-07,Bank of Abyssinia,google_play
