review_text,rating,date,bank_name,source
"The UI is impressive, but adding an ATM withdrawal feature for cardless cash access would enhance functionality. This may require updates to the ATM system as well. Please consider this, dev team.",4,2025-10-22,Dashen Bank,google_play
convinent,5,2025-10-22,Dashen Bank,google_play
Good,4,2025-10-21,Dashen Bank,google_play
it is Excellent April jest continue more abeaten.....,4,2025-10-19,Dashen Bank,google_play
I like it,5,2025-10-18,Dashen Bank,google_play
abdrug bentahuuuu,3,2025-10-17,Dashen Bank,google_play
"Dashen SuperApp is the worst app for me because it consistently fails during transfers. When I try to send money, the transaction freezes for extended periods—sometimes a full day, and often two or three days or more. Crucially, the funds are neither delivered to the recipient nor immediately refunded to my account, which is incredibly frustrating and makes me feel like I've lost my money. The app urgently needs a technical update to ensure transactions process smoothly and reliably.",1,2025-10-14,Dashen Bank,google_play
Best application,5,2025-10-14,Dashen Bank,google_play
easy,5,2025-10-14,Dashen Bank,google_play
lmo,5,2025-10-13,Dashen Bank,google_play
meseret birara,5,2025-10-12,Dashen Bank,google_play
it doesn't let me open my account,1,2025-10-12,Dashen Bank,google_play
very good,1,2025-10-11,Dashen Bank,google_play
it is the best,5,2025-10-11,Dashen Bank,google_play
nice and best,5,2025-10-10,Dashen Bank,google_play
good,5,2025-10-10,Dashen Bank,google_play
Finish the app development fully before you give the final result. It's is very inconvenient and not that reliable at the moment.,1,2025-10-08,Dashen Bank,google_play
hayelu Beranu Bashre,5,2025-10-07,Dashen Bank,google_play
👎👎👎👎👎👎👎👎 connection not fast,5,2025-10-07,Dashen Bank,google_play
good,5,2025-10-06,Dashen Bank,google_play
"@Shewangizaw L. As a heavy user of the app , the issue you raised around resetting pass pin concerned me and gave it a try and found it to be safe. Basically the app will do two things: verifies one using an otp and then requires an in-person visit to bank's physical branch for final verification after resetting the password. Therefore, safe to use! I wish ""i""nformational tip was added around the reset button. Could not attach screenshot.",4,2025-10-06,Dashen Bank,google_play
perfect,5,2025-10-06,Dashen Bank,google_play
for dashen bankk it is best app so why your bank onlyu one one app for mobile banking that means superr app,5,2025-10-05,Dashen Bank,google_play
wow,5,2025-10-04,Dashen Bank,google_play
tadesa melka tulluu,1,2025-10-04,Dashen Bank,google_play
I can't open virtual account.I have been trying it for about 3 days still no resolve.,2,2025-10-04,Dashen Bank,google_play
App is passive when compare to Amole it takes 3-5 seconds to open and i cannot refresh transactions what i did.,1,2025-10-03,Dashen Bank,google_play
withdraw,1,2025-10-02,Dashen Bank,google_play
It takes gazillion years to open 😶,3,2025-10-02,Dashen Bank,google_play
this app is outstanding,5,2025-10-01,Dashen Bank,google_play
totally bad,1,2025-10-01,Dashen Bank,google_play
I really appreciate but we can't use it if don't have balance or data access,2,2025-10-01,Dashen Bank,google_play
nice app,5,2025-09-30,Dashen Bank,google_play
ሙነጃት አብድላ ሸረፍ,2,2025-09-30,Dashen Bank,google_play
it fast service,5,2025-09-29,Dashen Bank,google_play
"Good improvements after the Sep 25, 2025 update.",4,2025-09-29,Dashen Bank,google_play
I have one issue though what if the mobile phone with the sim is stolen and have no pattern or pin. The app allows to reset the pin directly without 2FA like finger print just by sending sms. which is a big gap. It should be addressed I didn't expect but it does and no trust at all.,1,2025-09-28,Dashen Bank,google_play
I love it 👍,5,2025-09-28,Dashen Bank,google_play
Best,5,2025-09-28,Dashen Bank,google_play
nice,5,2025-09-28,Dashen Bank,google_play
gooe,5,2025-09-28,Dashen Bank,google_play
nice app,5,2025-09-27,Dashen Bank,google_play
Dashen super app is the best all ethiopian banks keep it,5,2025-09-27,Dashen Bank,google_play
cool app,5,2025-09-27,Dashen Bank,google_play
nice,5,2025-09-27,Dashen Bank,google_play
App That makes cashless society in our century and Easy to use.,5,2025-09-27,Dashen Bank,google_play
tadass,1,2025-09-27,Dashen Bank,google_play
ሙሃጂራ,1,2025-09-27,Dashen Bank,google_play
It is an amazing app and all in one,5,2025-09-27,Dashen Bank,google_play
i dont like it,1,2025-09-27,Dashen Bank,google_play
