model,topic_id,word,weight
TF-IDF,Commercial Bank of Ethiopia,like,10.914551223303851
TF-IDF,Commercial Bank of Ethiopia,update,9.772473483123282
TF-IDF,Commercial Bank of Ethiopia,work,8.752898240862757
TF-IDF,Commercial Bank of Ethiopia,service,7.189863223160656
TF-IDF,Commercial Bank of Ethiopia,ethiopia,5.9245889460355405
TF-IDF,Commercial Bank of Ethiopia,transaction,5.526496715656424
TF-IDF,Commercial Bank of Ethiopia,love,5.481519812295981
TF-IDF,Bank of Abyssinia,best,18.780438240192677
TF-IDF,Bank of Abyssinia,work,17.458150815501853
TF-IDF,Bank of Abyssinia,boa,14.964376922170093
TF-IDF,Bank of Abyssinia,time,12.918001637173539
TF-IDF,Bank of Abyssinia,please,10.474081204571112
TF-IDF,Bank of Abyssinia,like,10.419575941879069
TF-IDF,Bank of Abyssinia,working,10.297967841435723
TF-IDF,Bank of Abyssinia,update,9.45813330836381
TF-IDF,Bank of Abyssinia,nice,8.46411372910044
TF-IDF,Bank of Abyssinia,need,8.277110885490103
TF-IDF,Dashen Bank,best,21.749482993903637
TF-IDF,Dashen Bank,dashen,15.455882428290808
TF-IDF,Dashen Bank,amazing,12.55566190776747
TF-IDF,Dashen Bank,easy,12.107842253751992
TF-IDF,Dashen Bank,nice,11.487720418609573
TF-IDF,Dashen Bank,fast,10.093413038013727
TF-IDF,Dashen Bank,working,9.738414731289907
TF-IDF,Dashen Bank,super,9.416894459602355
TF-IDF,Dashen Bank,need,9.205623684123319
TF-IDF,Dashen Bank,slow,8.984261910878363
Bigram,phrases,worst_ever,16.0
Bigram,phrases,developer_option,15.0
Bigram,phrases,user_friendly,14.0
Bigram,phrases,dashen_super,14.0
Bigram,phrases,send_money,8.0
Bigram,phrases,please_fix,8.0
Bigram,phrases,transfer_money,7.0
Bigram,phrases,always_step,6.0
Bigram,phrases,ever_seen,5.0
Bigram,phrases,step_ahead,2.0
