review,rating,date,bank,source
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Commercial Bank of Ethiopia,google_play
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Commercial Bank of Ethiopia,google_play
gooof,5,2025-10-16,Commercial Bank of Ethiopia,google_play
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Commercial Bank of Ethiopia,google_play
Best app,5,2025-10-16,Commercial Bank of Ethiopia,google_play
still not perfect like before,1,2025-10-15,Commercial Bank of Ethiopia,google_play
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app,1,2025-10-15,Commercial Bank of Ethiopia,google_play
APPLIED,1,2025-10-14,Commercial Bank of Ethiopia,google_play
10 years ago,4,2025-10-14,Commercial Bank of Ethiopia,google_play
Asefa Obsa,5,2025-10-14,Commercial Bank of Ethiopia,google_play
it's good app,5,2025-10-14,Commercial Bank of Ethiopia,google_play
very slow,1,2025-10-14,Commercial Bank of Ethiopia,google_play
berhan deriba wami,4,2025-10-14,Commercial Bank of Ethiopia,google_play
mahamad Usman,5,2025-10-13,Commercial Bank of Ethiopia,google_play
Erako,5,2025-10-13,Commercial Bank of Ethiopia,google_play
opne,5,2025-10-13,Commercial Bank of Ethiopia,google_play
mehommd nuri,5,2025-10-13,Commercial Bank of Ethiopia,google_play
Best,5,2025-10-12,Commercial Bank of Ethiopia,google_play
providing very secure service.,5,2025-10-12,Commercial Bank of Ethiopia,google_play
apk     apkwun                     ::,1,2025-10-12,Commercial Bank of Ethiopia,google_play
    ,5,2025-10-12,Commercial Bank of Ethiopia,google_play
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Commercial Bank of Ethiopia,google_play
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Commercial Bank of Ethiopia,google_play
Mamma Husen,2,2025-10-11,Commercial Bank of Ethiopia,google_play
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Commercial Bank of Ethiopia,google_play
exceptional application from others bank,5,2025-10-10,Commercial Bank of Ethiopia,google_play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Commercial Bank of Ethiopia,google_play
good,5,2025-10-10,Commercial Bank of Ethiopia,google_play
really good app,5,2025-10-10,Commercial Bank of Ethiopia,google_play
smart bank CBE,5,2025-10-10,Commercial Bank of Ethiopia,google_play
Ali urgesa11,3,2025-10-09,Commercial Bank of Ethiopia,google_play
it's good,5,2025-10-09,Commercial Bank of Ethiopia,google_play
Good apps,5,2025-10-09,Commercial Bank of Ethiopia,google_play
password     ,4,2025-10-09,Commercial Bank of Ethiopia,google_play
best app i ever seen,5,2025-10-09,Commercial Bank of Ethiopia,google_play
it's game changing in financial system,4,2025-10-09,Commercial Bank of Ethiopia,google_play
"z,MKT 20_._!8+r",1,2025-10-09,Commercial Bank of Ethiopia,google_play
will good updating,5,2025-10-09,Commercial Bank of Ethiopia,google_play
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Commercial Bank of Ethiopia,google_play
why removing screenshot feature why?,2,2025-10-08,Commercial Bank of Ethiopia,google_play
very good application! thank you all who participate!,5,2025-10-08,Commercial Bank of Ethiopia,google_play
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Commercial Bank of Ethiopia,google_play
user compatible app!,5,2025-10-08,Commercial Bank of Ethiopia,google_play
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,Commercial Bank of Ethiopia,google_play
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,Commercial Bank of Ethiopia,google_play
